fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
9;0.001;8;0.670419816631816;0.6594202898550725;1800.0019059181213;542.1510789394379;[(2,), (-6, -2), (-11, -2, 6, 7), (-2, 6, 8, 11), (-11, -7, -2, -1, 6), (-11, -7, -2, 1, 6), (-9, -8, -2, 6, 11), (-8, -2, 6, 9, 11)]
10;0.001;6;0.6702589673475954;0.6405797101449275;1800.0047571659088;0.19252514839172363;[(2,), (-3, -2), (-7, -2, -1, 3), (-7, -2, 1, 3), (-10, -2, 3, 7), (-2, 3, 7, 10)]
1;0.0005;16.0;0.6702059202059202;0.6888567293777135;1800.0036828517914;0.1070699691772461;NA
2;0.0005;13;0.6702059202059202;0.6758321273516642;1800.0009291172028;719.5124130249023;[(-6,), (-5, 2, 6), (-3, 1, 5, 6), (-8, -5, -2, -1, 6), (-8, -5, -2, 1, 6), (-5, -2, -1, 6, 8), (-5, -2, 1, 6, 8), (-8, -3, -1, 5, 6), (-3, -1, 5, 6, 8), (-12, -1, 3, 5, 6), (-12, 1, 3, 5, 6), (-7, 3, 5, 6, 12), (3, 5, 6, 7, 12)]
3;0.0005;13;0.6742277992277992;0.6410998552821997;1800.0157318115234;821.6967418193817;[(-6,), (-5, 2, 6), (-3, 1, 5, 6), (-9, -5, -2, -1, 6), (-9, -5, -2, 1, 6), (-5, -2, -1, 6, 9), (-5, -2, 1, 6, 9), (-7, -3, -1, 5, 6), (-3, -1, 5, 6, 7), (-12, -1, 3, 5, 6), (-12, 1, 3, 5, 6), (-7, 3, 5, 6, 12), (3, 5, 6, 7, 12)]
4;0.0005;12;0.667953667953668;0.6758321273516642;1800.024113893509;5.448478937149048;[(-6,), (-4, 6), (-5, -1, 4, 6), (-3, 1, 4, 6), (-12, -10, -1, 4, 5, 6), (-12, -1, 4, 5, 6, 10), (-7, -1, 4, 5, 6, 12), (-1, 4, 5, 6, 7, 12), (-9, -8, 1, 3, 4, 6), (-9, 1, 3, 4, 6, 8), (-5, 1, 3, 4, 6, 9), (1, 3, 4, 5, 6, 9)]
5;0.0005;14;0.6703667953667953;0.6526772793053546;1800.0221412181854;887.8407831192017;[(2,), (-4, -2), (-7, -2, 4), (-3, -2, 1, 4, 7), (-9, -5, -2, -1, 4, 7), (-12, -2, -1, 4, 7, 9), (-9, -6, -2, -1, 4, 5, 7), (-9, -2, -1, 4, 5, 6, 7), (-6, -2, -1, 4, 7, 9, 12), (-2, -1, 4, 6, 7, 9, 12), (-9, -8, -2, 1, 3, 4, 7), (-9, -2, 1, 3, 4, 7, 8), (-5, -2, 1, 3, 4, 7, 9), (-2, 1, 3, 4, 5, 7, 9)]
6;0.0005;11;0.6732625482625483;0.6425470332850941;1800.0254142284393;319.184317111969;[(-6,), (-5, -1, 6), (-3, 1, 6), (-12, -9, -1, 5, 6), (-12, -1, 5, 6, 9), (-7, -1, 5, 6, 12), (-1, 5, 6, 7, 12), (-10, -5, 1, 3, 6), (-5, 1, 3, 6, 10), (-8, 1, 3, 5, 6), (1, 3, 5, 6, 8)]
7;0.0005;11;0.6685971685971687;0.6845151953690304;1800.0019989013672;163.2113516330719;[(-7,), (-4, -1, 7), (-3, 1, 7), (-12, -10, -1, 4, 7), (-12, -1, 4, 7, 10), (-6, -1, 4, 7, 12), (-1, 4, 6, 7, 12), (-9, -6, 1, 3, 7), (-9, 1, 3, 6, 7), (-4, 1, 3, 7, 9), (1, 3, 4, 7, 9)]
8;0.0005;15.0;0.6728325558951262;0.6652173913043479;1800.005271911621;0.09282088279724121;NA
9;0.0005;12;0.670419816631816;0.6623188405797101;1800.004243850708;634.740583896637;[(-6,), (-4, 6), (-5, -1, 4, 6), (-3, 1, 4, 6), (-12, -3, -1, 4, 5, 6), (-12, -1, 3, 4, 5, 6), (-7, -1, 4, 5, 6, 12), (-1, 4, 5, 6, 7, 12), (-8, -5, 1, 3, 4, 6), (-5, 1, 3, 4, 6, 8), (-10, 1, 3, 4, 5, 6), (1, 3, 4, 5, 6, 10)]
10;0.0005;12;0.6725108573266849;0.6434782608695652;1800.009141921997;4.055570840835571;[(-6,), (-4, 6), (-5, -1, 4, 6), (-3, 1, 4, 6), (-12, -3, -1, 4, 5, 6), (-12, -1, 3, 4, 5, 6), (-7, -1, 4, 5, 6, 12), (-1, 4, 5, 6, 7, 12), (-9, -5, 1, 3, 4, 6), (-5, 1, 3, 4, 6, 9), (-8, 1, 3, 4, 5, 6), (1, 3, 4, 5, 6, 8)]
